"user_id","image_paths","user_claim","claim_object","evidence_standard_met","evidence_standard_met_reason","risk_flags","issue_type","object_part","claim_status","claim_status_justification","supporting_image_ids","valid_image","severity"
"user_001","images/sample/case_001/img_1.jpg","Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.","car","true","The image clearly shows the rear bumper is missing and the rear body panel is severely damaged.","none","dent","rear_bumper","supported","The rear bumper is completely missing and the trunk lid is severely dented, indicating high-severity damage consistent with the claim.","img_1","true","medium"
"user_002","images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg","Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.","car","false","images appear to show different objects, so evidence reliability cannot be confirmed","claim_mismatch;manual_review_required;wrong_object","broken_part","front_bumper","not_enough_information","The submitted images appear to show different objects/vehicles, so the evidence cannot be reliably evaluated. The user claimed a scratch on the front bumper, but img_1 shows a significant dent and structural damage, and img_2 shows a completely different, undamaged car.","img_1;img_2","true","unknown"
"user_004","images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg","Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.","car","true","images appear to show different objects, so evidence reliability cannot be confirmed","none","crack","windshield","supported","The submitted images appear to show different objects/vehicles, so the evidence cannot be reliably evaluated. The claim of a cracked windshield is supported by img_1. However, img_2 shows an undamaged windshield, which is inconsistent with the claim if presented as the same vehicle.","img_1","true","medium"
"user_007","images/sample/case_004/img_1.jpg","Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.","car","true","The image clearly shows damage to the side mirror as claimed.","none","broken_part","side_mirror","supported","The side mirror glass in img_1 is visibly cracked, supporting the user's claim of damage.","img_1","true","medium"
"user_005","images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg","Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.","car","true","The images clearly show the rear bumper is intact, while the damage is located on the adjacent quarter panel.","claim_mismatch;manual_review_required;user_history_risk","scratch","rear_bumper","contradicted","The rear bumper shown in img_2 is free of damage. The dent shown in img_1 is on the vehicle's quarter panel, not the bumper as claimed.","img_1","true","low"
"user_006","images/sample/case_006/img_1.jpg","Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.","car","false","claimed part not visible in submitted images; submitted images do not appear to be original photos","damage_not_visible;wrong_angle","unknown","headlight","not_enough_information","The image provided (img_1) does not show the headlight or front bumper, making it impossible to verify the claimed damage.","none","true","unknown"
"user_003","images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg","Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.","car","true","images appear to show different objects, so evidence reliability cannot be confirmed","blurry_image","dent","door","supported","While img_2 clearly shows a dent on a car door, the vehicle in img_2 is not the same as the vehicle in img_1, which contains red decals not present on the damaged car.","img_2","true","medium"
"user_008","images/sample/case_008/img_1.jpg","Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.","car","false","submitted images do not appear to be original photos","claim_mismatch;manual_review_required;non_original_image;user_history_risk","broken_part","front_bumper","contradicted","The image is a stock photo (watermarked 'Vecteezy') showing a car with severe, total-loss level damage, which contradicts the user's claim of a minor scratch occurring during a service visit.","img_1","false","high"
"user_009","images/sample/case_009/img_1.jpg","Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.","laptop","true","The image clearly shows the claimed damage to the laptop screen.","none","crack","screen","supported","The screen of the laptop in img_1 exhibits a significant crack pattern consistent with the user's claim.","img_1","true","medium"
"user_010","images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg","Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.","laptop","true","The damage to the hinge is clearly visible in the provided close-up image.","none","broken_part","hinge","supported","Image img_1 clearly shows the hinge assembly is broken and the casing is separated, which supports the user's claim of a broken hinge.","img_1","true","medium"
